#       Tempo      Altitude       Vel rad     Densid    Volume    Raio balão
  32.20000000 1000.67405827    4.79529150    1.09540401    7.58017055    1.21860698
  32.30000000 1001.15357576    4.79505834    1.09535198    7.58027853    1.21861277
  32.40000000 1001.63306994    4.79482517    1.09529996    7.58038651    1.21861855
  32.50000000 1002.11254079    4.79459199    1.09524794    7.58049449    1.21862434
  32.60000000 1002.59198833    4.79435880    1.09519593    7.58060246    1.21863013
  32.70000000 1003.07141255    4.79412559    1.09514392    7.58071044    1.21863591
  32.80000000 1003.55081344    4.79389238    1.09509192    7.58081841    1.21864170
  32.90000000 1004.03019102    4.79365916    1.09503992    7.58092638    1.21864748
  33.00000000 1004.50954527    4.79342592    1.09498792    7.58103435    1.21865327
  33.10000000 1004.98887620    4.79319268    1.09493593    7.58114232    1.21865905
  33.20000000 1005.46818380    4.79295943    1.09488395    7.58125029    1.21866484
  33.30000000 1005.94746808    4.79272616    1.09483197    7.58135826    1.21867062
  33.40000000 1006.42672903    4.79249289    1.09477999    7.58146622    1.21867641
  33.50000000 1006.90596665    4.79225960    1.09472802    7.58157418    1.21868219
  33.60000000 1007.38518094    4.79202631    1.09467605    7.58168215    1.21868798
  33.70000000 1007.86437191    4.79179300    1.09462409    7.58179011    1.21869376
  33.80000000 1008.34353954    4.79155968    1.09457213    7.58189807    1.21869955
  33.90000000 1008.82268384    4.79132635    1.09452018    7.58200603    1.21870533
  34.00000000 1009.30180481    4.79109302    1.09446823    7.58211398    1.21871112
  34.10000000 1009.78090244    4.79085967    1.09441629    7.58222194    1.21871690
  34.20000000 1010.25997673    4.79062631    1.09436435    7.58232990    1.21872268
  34.30000000 1010.73902769    4.79039294    1.09431241    7.58243785    1.21872847
  34.40000000 1011.21805532    4.79015956    1.09426048    7.58254580    1.21873425
  34.50000000 1011.69705960    4.78992617    1.09420856    7.58265375    1.21874004
  34.60000000 1012.17604055    4.78969277    1.09415664    7.58276170    1.21874582
  34.70000000 1012.65499815    4.78945936    1.09410472    7.58286965    1.21875160
  34.80000000 1013.13393241    4.78922594    1.09405281    7.58297760    1.21875739
  34.90000000 1013.61284333    4.78899251    1.09400090    7.58308554    1.21876317
  35.00000000 1014.09173091    4.78875907    1.09394900    7.58319349    1.21876895
  35.10000000 1014.57059514    4.78852562    1.09389710    7.58330143    1.21877473
  35.20000000 1015.04943603    4.78829215    1.09384521    7.58340937    1.21878052
  35.30000000 1015.52825357    4.78805868    1.09379332    7.58351731    1.21878630
  35.40000000 1016.00704776    4.78782520    1.09374143    7.58362525    1.21879208
  35.50000000 1016.48581860    4.78759170    1.09368955    7.58373319    1.21879786
  35.60000000 1016.96456610    4.78735820    1.09363768    7.58384112    1.21880365
  35.70000000 1017.44329024    4.78712468    1.09358581    7.58394906    1.21880943
  35.80000000 1017.92199103    4.78689116    1.09353394    7.58405699    1.21881521
  35.90000000 1018.40066847    4.78665762    1.09348208    7.58416493    1.21882099
  36.00000000 1018.87932255    4.78642408    1.09343022    7.58427286    1.21882677
  36.10000000 1019.35795328    4.78619052    1.09337837    7.58438079    1.21883256
  36.20000000 1019.83656065    4.78595695    1.09332652    7.58448871    1.21883834
  36.30000000 1020.31514466    4.78572338    1.09327468    7.58459664    1.21884412
  36.40000000 1020.79370532    4.78548979    1.09322284    7.58470457    1.21884990
  36.50000000 1021.27224261    4.78525619    1.09317101    7.58481249    1.21885568
  36.60000000 1021.75075655    4.78502258    1.09311918    7.58492042    1.21886146
  36.70000000 1022.22924712    4.78478896    1.09306735    7.58502834    1.21886724
  36.80000000 1022.70771434    4.78455533    1.09301553    7.58513626    1.21887302
  36.90000000 1023.18615819    4.78432169    1.09296372    7.58524418    1.21887880
  37.00000000 1023.66457867    4.78408804    1.09291191    7.58535209    1.21888458
  37.10000000 1024.14297579    4.78385438    1.09286010    7.58546001    1.21889036
